configuration,use_pca,use_smote,use_kmeans,use_ensemble,model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
Full Model,True,True,True,True,Decision Tree,0.9872685914712056,0.0013949737659639163,0.9892460797720094,0.000819073106613122,0.9872685914712056,0.0013949737659639163,0.9878829154843034,0.001202992983592425,0.9940633258905608,0.000868817618110566
Full Model,True,True,True,True,Random Forest,0.9922277403091183,0.0004984351028075956,0.9926433899942866,0.0004568425208607734,0.9922277403091183,0.0004984351028075956,0.9923408886446149,0.00048708531008115547,0.9980178271311493,0.0002882733968747635
Full Model,True,True,True,True,SVM,0.9593972483860231,0.002438009525411302,0.973095392265561,0.000928959460030075,0.9593972483860231,0.002438009525411302,0.9632875316864228,0.0023708534409037853,0.989701547636756,0.0010324731202774157
Full Model,True,True,True,True,Hybrid Ensemble,0.9916180980584393,0.0005369468566795421,0.9921927686525617,0.0004821123325259259,0.9916180980584393,0.0005369468566795421,0.9917693394562985,0.0005225502315193122,0.9965303415296031,0.0005917618020333615
Without PCA,False,True,True,True,Decision Tree,0.9872685914712056,0.0013949737659639163,0.9892460797720094,0.000819073106613122,0.9872685914712056,0.0013949737659639163,0.9878829154843034,0.001202992983592425,0.9940633258905608,0.000868817618110566
Without PCA,False,True,True,True,Random Forest,0.9922277403091183,0.0004984351028075956,0.9926433899942866,0.0004568425208607734,0.9922277403091183,0.0004984351028075956,0.9923408886446149,0.00048708531008115547,0.9980178271311493,0.0002882733968747635
Without PCA,False,True,True,True,SVM,0.9585825676190485,0.0010363368321860684,0.9674946641636618,0.0005847676326386651,0.9585825676190485,0.0010363368321860684,0.9616576143362631,0.0008423858206605739,0.9887907730790699,0.000934797743841401
Without PCA,False,True,True,True,Hybrid Ensemble,0.9914431328613649,0.0005482475505005935,0.9920050527968177,0.0004977656620445084,0.9914431328613649,0.0005482475505005935,0.9915953727678634,0.00053451409890597,0.9972788611835472,0.0003240656389986047
Without SMOTE,True,False,True,True,Decision Tree,0.9958691925286173,0.00032587823829400306,0.9958624708149688,0.00032938772492728204,0.9958691925286173,0.00032587823829400306,0.9958553317922728,0.0003302214032124888,0.9929953130720737,0.000918168750677622
Without SMOTE,True,False,True,True,Random Forest,0.9966182606086397,0.00037329172046990215,0.9966585098226168,0.00036502050265270117,0.9966182606086397,0.00037329172046990215,0.9966036581929094,0.0003754179464251067,0.998215384088855,0.0003929336935683804
Without SMOTE,True,False,True,True,SVM,0.9567180981360186,0.0006708080489281926,0.9488724134895344,0.0035792990728516325,0.9567180981360186,0.0006708080489281926,0.9418365030660683,0.001294335510642864,0.9899795293466598,0.001129686101251347
Without SMOTE,True,False,True,True,Hybrid Ensemble,0.9964214254626105,0.0003693521550344655,0.9964608303011013,0.0003646938449031977,0.9964214254626105,0.0003693521550344655,0.99640586983641,0.0003723710649394796,0.9943145701898908,0.001107616455470559
Without K-Means,True,True,False,True,Decision Tree,0.9872685914712056,0.0013949737659639163,0.9892460797720094,0.000819073106613122,0.9872685914712056,0.0013949737659639163,0.9878829154843034,0.001202992983592425,0.9940633258905608,0.000868817618110566
Without K-Means,True,True,False,True,Random Forest,0.9922277403091183,0.0004984351028075956,0.9926433899942866,0.0004568425208607734,0.9922277403091183,0.0004984351028075956,0.9923408886446149,0.00048708531008115547,0.9980178271311493,0.0002882733968747635
Without K-Means,True,True,False,True,SVM,0.9584978203616801,0.0017110712301029811,0.9715831751192923,0.0006175439331116912,0.9584978203616801,0.0017110712301029811,0.9623491186500356,0.0015843364385730804,0.9900820172112432,0.0010464096782234413
Without K-Means,True,True,False,True,Hybrid Ensemble,0.9916317671035199,0.0005397633055709589,0.9922091239162606,0.00048649473276938713,0.9916317671035199,0.0005397633055709589,0.9917833731379394,0.0005258199477036418,0.9965168307282435,0.000605387124849853
Without Ensemble,True,True,True,False,Decision Tree,0.9872685914712056,0.0013949737659639163,0.9892460797720094,0.000819073106613122,0.9872685914712056,0.0013949737659639163,0.9878829154843034,0.001202992983592425,0.9940633258905608,0.000868817618110566
Without Ensemble,True,True,True,False,Random Forest,0.9922277403091183,0.0004984351028075956,0.9926433899942866,0.0004568425208607734,0.9922277403091183,0.0004984351028075956,0.9923408886446149,0.00048708531008115547,0.9980178271311493,0.0002882733968747635
Without Ensemble,True,True,True,False,SVM,0.9593972483860231,0.002438009525411302,0.973095392265561,0.000928959460030075,0.9593972483860231,0.002438009525411302,0.9632875316864228,0.0023708534409037853,0.989701547636756,0.0010324731202774157
