configuration,use_pca,use_smote,use_kmeans,use_ensemble,fold,train_samples,test_samples,model,accuracy,precision,recall,f1,roc_auc
Full Model,True,True,True,True,1,1494180,36579,Decision Tree,0.9881079307799557,0.9892632431268498,0.9881079307799557,0.9884721381084332,0.9925030419165046
Full Model,True,True,True,True,1,1494180,36579,Random Forest,0.9913064873287952,0.9917620350205023,0.9913064873287952,0.9914281058397385,0.9977574521765902
Full Model,True,True,True,True,1,1494180,36579,SVM,0.9604144454468411,0.9727211939524761,0.9604144454468411,0.9643806281740145,0.9880562451261085
Full Model,True,True,True,True,1,1494180,36579,Hybrid Ensemble,0.9906503731649307,0.9912963572805766,0.9906503731649307,0.9908176050843674,0.9953773243493286
Full Model,True,True,True,True,2,1494180,36579,Decision Tree,0.9869870690833539,0.9895274029519725,0.9869870690833539,0.9877595231329381,0.9957896477209709
Full Model,True,True,True,True,2,1494180,36579,Random Forest,0.9929467727384564,0.9933147679386872,0.9929467727384564,0.993049816119305,0.9983374403105824
Full Model,True,True,True,True,2,1494180,36579,SVM,0.9612072500615108,0.9742090751658016,0.9612072500615108,0.9648768078541565,0.9904886304974008
Full Model,True,True,True,True,2,1494180,36579,Hybrid Ensemble,0.992290658574592,0.9927985685762245,0.992290658574592,0.9924291503715283,0.9966485374741453
Full Model,True,True,True,True,3,1494180,36579,Decision Tree,0.9879165641488286,0.9894428506424313,0.9879165641488286,0.9883864049136035,0.9930733410663317
Full Model,True,True,True,True,3,1494180,36579,Random Forest,0.9918805872221766,0.9923741748822492,0.9918805872221766,0.9920194761329671,0.9978031788776955
Full Model,True,True,True,True,3,1494180,36579,SVM,0.9609612072500615,0.974139933071303,0.9609612072500615,0.9646128648453272,0.9901808792484774
Full Model,True,True,True,True,3,1494180,36579,Hybrid Ensemble,0.9914978539599224,0.9921323075500029,0.9914978539599224,0.9916681330613367,0.9961131609650502
Full Model,True,True,True,True,4,1494180,36579,Decision Tree,0.98581153120643,0.9886018696296606,0.98581153120643,0.9867012926740912,0.994227658772014
Full Model,True,True,True,True,4,1494180,36579,Random Forest,0.9926187156565243,0.9929685462276675,0.9926187156565243,0.9927114057347691,0.9977102661990713
Full Model,True,True,True,True,4,1494180,36579,SVM,0.9623007736679515,0.9740170158809835,0.9623007736679515,0.9661654983431465,0.9896594416141705
Full Model,True,True,True,True,4,1494180,36579,Hybrid Ensemble,0.9919352634024987,0.9924456691761036,0.9919352634024987,0.9920663959468536,0.996441465427631
Full Model,True,True,True,True,5,1494180,36579,Decision Tree,0.9862762787391672,0.9888083899165235,0.9862762787391672,0.9870446685261044,0.99453759639722
Full Model,True,True,True,True,5,1494180,36579,Random Forest,0.9919079253123377,0.992384891522774,0.9919079253123377,0.9920444835810547,0.9982003498329887
Full Model,True,True,True,True,5,1494180,36579,SVM,0.953880641898357,0.9714435204515426,0.953880641898357,0.9577628313408415,0.9892388215368784
Full Model,True,True,True,True,5,1494180,36579,Hybrid Ensemble,0.9914158396894392,0.9920242529725706,0.9914158396894392,0.9915830950801745,0.9965998487290776
Full Model,True,True,True,True,6,1494180,36579,Decision Tree,0.987315126165286,0.9891834462412249,0.987315126165286,0.9878909218420214,0.9938990312022566
Full Model,True,True,True,True,6,1494180,36579,Random Forest,0.9920446157631427,0.9924716761663248,0.9920446157631427,0.9921561593301919,0.9979755352507379
Full Model,True,True,True,True,6,1494180,36579,SVM,0.9575439459799339,0.972433915073754,0.9575439459799339,0.961598499540201,0.9888570231313367
Full Model,True,True,True,True,6,1494180,36579,Hybrid Ensemble,0.9911697968779901,0.9918315251508061,0.9911697968779901,0.9913401267591297,0.9962185630735777
Full Model,True,True,True,True,7,1494180,36579,Decision Tree,0.98581153120643,0.9881897264121534,0.98581153120643,0.9865621237251272,0.994002926259138
Full Model,True,True,True,True,7,1494180,36579,Random Forest,0.9919079253123377,0.9923457852006392,0.9919079253123377,0.9920260232648388,0.9979398134772326
Full Model,True,True,True,True,7,1494180,36579,SVM,0.9577079745209,0.9725901585996366,0.9577079745209,0.9619495019677672,0.9896474514180283
Full Model,True,True,True,True,7,1494180,36579,Hybrid Ensemble,0.991142458787829,0.9917612212777565,0.991142458787829,0.9913069769327001,0.9966966237046463
Full Model,True,True,True,True,8,1494180,36579,Decision Tree,0.9863856310998114,0.9888208089775153,0.9863856310998114,0.9871418979757063,0.994021552416659
Full Model,True,True,True,True,8,1494180,36579,Random Forest,0.9925367013860412,0.9929468290220432,0.9925367013860412,0.9926440557968625,0.9985639404385828
Full Model,True,True,True,True,8,1494180,36579,SVM,0.9604691216271631,0.9739426342481545,0.9604691216271631,0.9644435610302924,0.9902415343152771
Full Model,True,True,True,True,8,1494180,36579,Hybrid Ensemble,0.9919899395828208,0.9925384500061066,0.9919899395828208,0.9921285497380795,0.9974411541345812
Full Model,True,True,True,True,9,1494180,36578,Decision Tree,0.9876155065886598,0.9893782124527352,0.9876155065886598,0.9881706232227794,0.9943681712270642
